Date,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2015-09-26 00:00:00+00:00,XBTUSD,239.99,239.99,234.81,235.2,153.0,190090.0,235.91,24.0,44844188670.0,448.4418867000002,105792.66073543104
2015-09-27 00:00:00+00:00,XBTUSD,235.2,235.36,232.91,234.51,146.0,258488.0,233.99,200.0,60483729840.0,604.8372984000002,141526.71090172205
2015-09-28 00:00:00+00:00,XBTUSD,234.51,234.76,233.03,233.29,101.0,161013.0,233.55,1000.0,37604645900.0,376.0464589999999,87825.998859058
2015-09-29 00:00:00+00:00,XBTUSD,233.29,243.19,232.9,240.07,262.0,319143.0,237.981,50.0,75949944400.0,759.4994439999996,180755.7593278621
2015-09-30 00:00:00+00:00,XBTUSD,240.07,241.5,235.81,237.0,285.0,368771.0,238.266,9000.0,87865511830.0,878.6551183000008,209360.657738507
2015-10-01 00:00:00+00:00,XBTUSD,237.0,238.2,235.56,236.55,159.0,294736.0,236.892,1576.0,69820453660.0,698.2045366000006,165400.059583874
2015-10-02 00:00:00+00:00,XBTUSD,236.55,239.53,234.63,238.1,67.0,180356.0,237.689,2000.0,42868604320.0,428.6860432,101895.56061960202
2015-10-03 00:00:00+00:00,XBTUSD,238.1,238.99,237.09,238.0,68.0,133911.0,238.023,9.0,31873923980.0,318.7392398,75867.55001464998
2015-10-04 00:00:00+00:00,XBTUSD,238.0,241.0,237.53,239.67,121.0,127411.0,238.941,5000.0,30443690010.0,304.4369001,72743.089806925
2015-10-05 00:00:00+00:00,XBTUSD,239.67,239.93,238.3,238.58,62.0,148659.0,239.124,5000.0,35547938950.0,355.4793895,85003.81006301902
2015-10-06 00:00:00+00:00,XBTUSD,238.58,240.85,237.77,240.85,146.0,255736.0,239.134,2000.0,61155122910.0,611.5512290999998,146243.95797202905
2015-10-07 00:00:00+00:00,XBTUSD,240.85,249.0,240.68,247.09,475.0,536943.0,245.107,459.0,131608380940.0,1316.0838094000003,322612.95657887583
2015-10-08 00:00:00+00:00,XBTUSD,247.09,247.8,243.43,243.43,258.0,428099.0,245.154,7510.0,104950269450.0,1049.5026945000006,257294.75418074487
2015-10-09 00:00:00+00:00,XBTUSD,243.43,245.73,243.0,243.19,136.0,393019.0,243.826,8.0,95828243890.0,958.2824389000004,233654.94543618307
2015-10-10 00:00:00+00:00,XBTUSD,243.19,244.91,242.99,244.4,149.0,466508.0,243.998,80.0,113827191420.0,1138.2719142000008,277737.17215008
2015-10-11 00:00:00+00:00,XBTUSD,244.4,246.08,243.77,246.0,142.0,300969.0,245.076,9980.0,73760371520.0,737.6037151999997,180770.78198454
2015-10-12 00:00:00+00:00,XBTUSD,246.0,248.56,245.18,248.13,188.0,657289.0,246.464,10.0,161998087950.0,1619.9808794999997,399275.6434701053
2015-10-13 00:00:00+00:00,XBTUSD,248.13,248.41,245.7,246.38,219.0,710444.0,246.742,1000.0,175296250750.0,1752.9625074999983,432533.52607313695
2015-10-14 00:00:00+00:00,XBTUSD,246.38,251.49,244.47,250.76,395.0,1284157.0,248.669,15000.0,319329866450.0,3193.2986645,794135.3279334059
2015-10-15 00:00:00+00:00,XBTUSD,250.76,255.55,249.99,253.32,360.0,1196167.0,251.986,10.0,301416775960.0,3014.1677595999936,759547.8449492935
2015-10-16 00:00:00+00:00,XBTUSD,253.32,257.18,253.04,254.86,432.0,3508869.0,255.19,1580.0,895427367550.0,8954.273675500004,2285068.3088544016
2015-10-17 00:00:00+00:00,XBTUSD,254.86,267.55,254.88,263.89,1338.0,4632494.0,262.635,2000.0,1216654044430.0,12166.54044429999,3195747.91406717
2015-10-18 00:00:00+00:00,XBTUSD,263.89,278.51,263.0,273.91,1765.0,9988015.0,269.93,10000.0,2696066488820.0,26960.66488820006,7278356.806096141
2015-10-19 00:00:00+00:00,XBTUSD,273.91,275.05,262.0,265.63,763.0,3216612.0,268.353,371.0,863187566770.0,8631.875667699986,2316826.47487326
2015-10-20 00:00:00+00:00,XBTUSD,265.63,270.69,261.55,265.35,625.0,2241882.0,265.23,7560.0,594613969240.0,5946.139692400001,1577146.1079642985
2015-10-21 00:00:00+00:00,XBTUSD,265.35,274.49,264.68,271.85,1013.0,2770928.0,268.625,50.0,744340946150.0,7443.409461500003,1999627.1120371488
2015-10-22 00:00:00+00:00,XBTUSD,271.85,273.45,263.88,268.37,1190.0,2806074.0,267.67,10000.0,751101202760.0,7511.012027600027,2010591.896524182
2015-10-23 00:00:00+00:00,XBTUSD,268.37,280.0,267.65,276.9,715.0,2263003.0,275.151,12500.0,622666830450.0,6226.668304500005,1713458.0558457382
2015-10-24 00:00:00+00:00,XBTUSD,276.9,282.38,275.47,279.8,744.0,1898945.0,278.949,5000.0,529708571690.0,5297.085716900001,1477644.73034757
2015-10-25 00:00:00+00:00,XBTUSD,279.8,286.9,278.35,285.39,905.0,2753916.0,282.253,100.0,777299700970.0,7772.997009700004,2194011.0686280606
2015-10-26 00:00:00+00:00,XBTUSD,285.39,299.51,282.9,285.79,1651.0,5663816.0,290.884,2500.0,1647511675950.0,16475.11675949999,4793381.787770724
2015-10-27 00:00:00+00:00,XBTUSD,285.79,292.29,281.01,289.32,924.0,3596017.0,285.923,10000.0,1028184466490.0,10281.844664900013,2939942.4031352936
2015-10-28 00:00:00+00:00,XBTUSD,289.32,305.32,286.89,296.51,1576.0,4671955.0,295.18,10000.0,1379066734490.0,13790.667344899986,4071259.246791975
2015-10-29 00:00:00+00:00,XBTUSD,296.51,310.36,296.6,306.99,1662.0,4231430.0,303.953,2151.0,1286154721810.0,12861.547218100028,3909606.413698549
2015-10-30 00:00:00+00:00,XBTUSD,306.99,322.0,303.14,316.6,1889.0,5642264.0,313.133,5000.0,1766778498600.0,17667.78498599998,5533545.116855099
2015-10-31 00:00:00+00:00,XBTUSD,316.6,336.81,300.0,333.0,2708.0,7526523.0,327.324,3510.0,2463611146890.0,24636.11146890006,8065343.28984111
