timestamp,open,high,low,close,volume
2021-10-21 00:00:00,4.4876,4.927,4.4876,4.847,19864.0
2021-10-22 00:00:00,4.847,4.9614,4.6023,4.6776,26782.0
2021-10-23 00:00:00,4.6776,4.7952,4.5642,4.6375,16770.0
2021-10-24 00:00:00,4.6375,4.766,4.6051,4.749,6315.0
2021-10-25 00:00:00,4.749,5.0987,4.6747,4.756,25678.0
2021-10-26 00:00:00,4.756,4.85,4.7299,4.787,11046.0
2021-10-27 00:00:00,4.787,4.9347,4.668,4.7204,26326.0
2021-10-28 00:00:00,4.7204,4.783,3.8556,4.1654,73446.0
2021-10-29 00:00:00,4.1654,4.5,4.15,4.4031,76504.0
2021-10-30 00:00:00,4.4031,4.54,4.3766,4.4896,85634.0
2021-10-31 00:00:00,4.4896,4.5133,4.36,4.502,30899.0
2021-11-01 00:00:00,4.502,4.7125,4.45,4.66,41872.0
2021-11-02 00:00:00,4.66,4.7246,4.463,4.6367,52338.0
2021-11-03 00:00:00,4.6367,4.8,4.5878,4.7084,30434.0
2021-11-04 00:00:00,4.7084,4.88,4.5218,4.718,77213.0
2021-11-05 00:00:00,4.718,4.7605,4.4452,4.5555,46897.0
2021-11-06 00:00:00,4.5555,4.6069,4.4712,4.517,9880.0
2021-11-07 00:00:00,4.517,4.5528,4.2254,4.448,35505.0
2021-11-08 00:00:00,4.448,4.5933,4.4319,4.5933,26730.0
2021-11-09 00:00:00,4.5933,4.9107,4.5961,4.8724,61376.0
2021-11-10 00:00:00,4.8724,5.3971,4.8428,5.2228,76476.0
2021-11-11 00:00:00,5.2228,5.4101,4.5234,4.858,112383.0
2021-11-12 00:00:00,4.858,5.0415,4.8055,4.9368,34777.0
2021-11-13 00:00:00,4.9368,5.117,4.6677,4.8527,95179.0
2021-11-14 00:00:00,4.8527,5.0822,4.8135,5.0175,23736.0
2021-11-15 00:00:00,5.0175,5.0888,4.8349,4.9612,43508.0
2021-11-16 00:00:00,4.9612,5.1076,4.7749,4.8059,42435.0
2021-11-17 00:00:00,4.8059,4.8021,4.0654,4.3477,132824.0
2021-11-18 00:00:00,4.3477,4.4161,4.18,4.3842,27260.0
2021-11-19 00:00:00,4.3842,4.4437,3.95,4.1013,73759.0
2021-11-20 00:00:00,4.1013,4.3235,4.0671,4.2883,71662.0
2021-11-21 00:00:00,4.2883,4.3631,4.1829,4.35,12519.0
2021-11-22 00:00:00,4.35,4.3919,4.2477,4.26,13003.0
2021-11-23 00:00:00,4.26,4.2931,4.07,4.1419,57574.0
2021-11-24 00:00:00,4.1419,4.2503,4.07,4.2503,36072.0
2021-11-25 00:00:00,4.2503,4.2679,4.0113,4.1319,27594.0
2021-11-26 00:00:00,4.1319,4.3287,4.112,4.2587,21565.0
