timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2021-09-30 00:00:00+00:00,DOTUSD,27.292,28.367,26.708,27.158,138.0,26679.0,28.012,197.0,747326767.0,11220.204911783592,314308.45915043616
2021-10-01 00:00:00+00:00,DOTUSD,27.158,28.835,27.419,28.597,426.0,36903.0,28.222,28.0,1041441941.0,15983.583628034565,451086.2890353856
2021-10-02 00:00:00+00:00,DOTUSD,28.597,32.326,28.518,32.036,699.0,46028.0,30.108,7.0,1385799207.0,20961.91527080968,632160.1511790353
2021-10-03 00:00:00+00:00,DOTUSD,32.036,33.341,31.658,32.062,458.0,29837.0,32.81,1.0,978922414.0,14291.824452085344,468909.1610444037
2021-10-04 00:00:00+00:00,DOTUSD,32.062,32.7,31.38,32.18,394.0,19931.0,31.941,1.0,636612613.0,9540.219940790585,304738.97117496125
2021-10-05 00:00:00+00:00,DOTUSD,32.18,32.066,30.057,31.127,515.0,37601.0,31.087,15.0,1168883484.0,18050.328377164988,561173.8256979132
2021-10-06 00:00:00+00:00,DOTUSD,31.127,32.1,30.6,31.497,467.0,28066.0,31.398,71.0,881211873.0,14038.731147346229,440799.8151251528
2021-10-07 00:00:00+00:00,DOTUSD,31.497,33.027,29.191,32.322,715.0,45961.0,30.917,15.0,1420969772.0,24206.69071339814,749152.1961785626
2021-10-08 00:00:00+00:00,DOTUSD,32.322,35.344,31.283,33.954,1337.0,87278.0,33.793,27.0,2949337078.0,47391.0322357741,1601163.388304355
2021-10-09 00:00:00+00:00,DOTUSD,33.954,34.596,33.118,33.414,851.0,63408.0,33.774,96.0,2141495328.0,34457.27393696947,1163755.2263078112
2021-10-10 00:00:00+00:00,DOTUSD,33.414,36.962,33.13,36.328,673.0,32692.0,35.308,12.0,1154274074.0,17915.452854832965,632636.5938888482
2021-10-11 00:00:00+00:00,DOTUSD,36.328,37.4,34.313,34.379,1217.0,76013.0,35.468,1.0,2695976639.0,41835.01988566982,1483849.4501843725
2021-10-12 00:00:00+00:00,DOTUSD,34.379,36.118,33.273,34.224,3319.0,185352.0,34.908,3.0,6470099841.0,105911.9564759386,3696924.1819068505
2021-10-13 00:00:00+00:00,DOTUSD,34.224,35.468,32.103,35.213,1614.0,126066.0,33.617,76.0,4237947834.0,71020.95427245426,2387032.2945604734
2021-10-14 00:00:00+00:00,DOTUSD,35.213,43.238,33.582,41.71,3577.0,244099.0,38.634,3.0,9430376482.0,137929.8160236445,5335411.067740618
2021-10-15 00:00:00+00:00,DOTUSD,41.71,42.568,39.42,40.788,2468.0,152530.0,40.999,62.0,6253569392.0,87788.79873036782,3599429.274510341
2021-10-16 00:00:00+00:00,DOTUSD,40.788,44.236,39.534,43.314,2736.0,160106.0,41.635,28.0,6665868459.0,96770.62747546432,4030981.6703241104
2021-10-17 00:00:00+00:00,DOTUSD,43.314,44.868,41.329,41.979,2452.0,145760.0,42.702,31.0,6224190080.0,88890.38861846081,3796341.727800701
2021-10-18 00:00:00+00:00,DOTUSD,41.979,42.909,39.5,42.168,1603.0,78706.0,41.308,210.0,3251177754.0,47529.48878087621,1963651.6340289065
2021-10-19 00:00:00+00:00,DOTUSD,42.168,43.271,40.36,41.242,1659.0,68186.0,41.564,22.0,2834023659.0,41989.47735037909,1745403.954783726
2021-10-20 00:00:00+00:00,DOTUSD,41.242,41.656,40.1,41.337,1289.0,37956.0,41.127,6.0,1561010396.0,23863.50161159894,981443.3742754428
2021-10-21 00:00:00+00:00,DOTUSD,41.337,45.29,41.198,44.449,3122.0,112445.0,42.795,1.0,4811984790.0,73286.4317335893,3137835.3116675564
2021-10-22 00:00:00+00:00,DOTUSD,44.449,45.644,42.064,43.035,3989.0,156984.0,43.879,2.0,6888165561.0,101518.62854672036,4455377.6600948535
2021-10-23 00:00:00+00:00,DOTUSD,43.035,46.463,42.814,43.609,3214.0,118018.0,44.662,9.0,5270854693.0,73608.20903169266,3288161.6926425206
2021-10-24 00:00:00+00:00,DOTUSD,43.609,44.826,43.067,44.038,1900.0,50831.0,43.952,1.0,2234120127.0,31027.837724828078,1363762.4568067547
2021-10-25 00:00:00+00:00,DOTUSD,44.038,44.24,41.382,42.44,2239.0,73527.0,42.923,1.0,3155970879.0,44566.36339539592,1913059.6368710224
2021-10-26 00:00:00+00:00,DOTUSD,42.44,44.861,42.247,44.619,1828.0,59943.0,43.824,13.0,2626933983.0,37543.17174235454,1645409.3604889845
2021-10-27 00:00:00+00:00,DOTUSD,44.619,46.071,43.423,44.925,2543.0,79749.0,44.419,26.0,3542325724.0,49516.161249543184,2199304.893050969
2021-10-28 00:00:00+00:00,DOTUSD,44.925,45.917,38.401,40.587,4798.0,178165.0,41.846,1.0,7455330534.0,105409.770867779,4412593.144269757
2021-10-29 00:00:00+00:00,DOTUSD,40.587,43.194,40.0,41.924,2102.0,63159.0,41.947,13.0,2649283288.0,37972.89470483956,1593400.352247219
2021-10-30 00:00:00+00:00,DOTUSD,41.924,44.432,41.744,44.238,6656.0,72519.0,43.22,1.0,3134247556.0,44595.22288603941,1927574.122496243
2021-10-31 00:00:00+00:00,DOTUSD,44.238,44.341,42.121,42.788,1485.0,34564.0,43.17,1.0,1492106597.0,21297.13418968033,919411.2645671788
2021-11-01 00:00:00+00:00,DOTUSD,42.788,43.499,41.113,43.052,1817.0,42252.0,42.174,74.0,1781933570.0,25795.090213444564,1087970.7226053583
2021-11-02 00:00:00+00:00,DOTUSD,43.052,51.622,41.861,50.136,4918.0,194194.0,47.516,49.0,9227289286.0,119089.80247599972,5657498.03630532
2021-11-03 00:00:00+00:00,DOTUSD,50.136,53.385,48.182,51.75,4962.0,262249.0,51.172,1.0,13419728207.0,165032.04703951324,8448055.322422903
2021-11-04 00:00:00+00:00,DOTUSD,51.75,54.559,49.156,53.465,3561.0,154798.0,51.593,1.0,7986346625.0,96986.18444872044,5003730.573977572
2021-11-05 00:00:00+00:00,DOTUSD,53.465,55.203,52.355,53.965,5196.0,202924.0,53.17,1.0,10789404373.0,125341.89714431154,6664266.756847051
2021-11-06 00:00:00+00:00,DOTUSD,53.965,53.979,50.74,51.972,2405.0,102072.0,52.322,39.0,5340520218.0,62854.18982032558,3288832.9020069223
2021-11-07 00:00:00+00:00,DOTUSD,51.972,52.482,49.087,52.079,2743.0,106307.0,50.925,45.0,5413669138.0,64768.05438342099,3298566.061610062
2021-11-08 00:00:00+00:00,DOTUSD,52.079,53.604,51.37,52.314,1926.0,69862.0,52.603,40.0,3674901331.0,43440.26806430876,2285002.057308353
2021-11-09 00:00:00+00:00,DOTUSD,52.314,53.936,51.819,53.429,2641.0,100417.0,53.087,49.0,5330835112.0,66015.17732929127,3504764.015177984
2021-11-10 00:00:00+00:00,DOTUSD,53.429,53.5,50.615,50.804,3154.0,108660.0,51.999,3.0,5650121827.0,73338.48843146373,3813784.480771838
2021-11-11 00:00:00+00:00,DOTUSD,50.804,52.083,42.216,46.928,6858.0,356933.0,47.664,18.0,17012821350.0,235317.31865157292,11228720.672303926
2021-11-12 00:00:00+00:00,DOTUSD,46.928,49.5,45.65,47.61,3085.0,165573.0,47.777,10.0,7910479347.0,107313.6055985249,5127363.704659907
2021-11-13 00:00:00+00:00,DOTUSD,47.61,47.681,44.15,46.007,2577.0,139422.0,46.173,1.0,6437528990.0,89569.71583123141,4136210.2874929034
